"id";"name";"parentid";"mdsval";"lastapperance"
"852";"SLESIA";"100";"59_39385";"2012-11-05 15:00:10"
"853";"BUENOS AIRES";"761";"2285_2544";"2012-11-05 15:00:10"
"854";\N;"276";"3022_42333";"2012-11-05 15:00:10"
"855";"HAEME PIRKANMAA";"377";"2187_40285";"2012-11-05 15:00:10"
"856";"RABAT";"127";"27_87";"2012-10-31 06:00:03"
"857";"FORTALEZA";"348";"47_1373";"2012-11-05 15:00:10"
"858";"MATO GROSSO";"348";"47_39808";"2012-11-05 15:00:10"
"859";"WYSPY LOJALNO?CI";"584";"40041_40623";"2012-11-05 15:00:11"
"860";\N;"0";"42326:";"2012-11-05 15:00:11"
"861";\N;"860";"42326_42329";"2012-11-05 15:00:11"
"862";"WYSPA WIELKANOCNA";"749";"2499_40085";"2012-11-05 15:00:11"
"863";"DOLINA PARANY";"761";"2285_38866";"2012-11-05 15:00:11"
"864";"ANDY CHILIJSKIE";"749";"2499_40089";"2012-11-05 15:00:11"
"865";"HANOI";"98";"3030_4461";"2012-10-31 06:00:03"
"866";"HONSIU";"727";"248_38891";"2012-10-31 06:00:03"
"867";"LAPPI";"377";"2187_40286";"2012-11-05 15:00:11"
"868";"RÓWNINA KAMBOD?A?SKA";"732";"51_39505";"2012-10-31 06:00:03"
"869";"BERMUDY";"0";"3012:";"2012-11-05 15:00:11"
"870";"MAIN ISLAND";"869";"3012_4259";"2012-11-05 15:00:11"
"871";"KESKI-SUOMI";"377";"2187_40283";"2012-11-05 15:00:11"
"872";"SAIDIA";"127";"27_4589";"2012-10-31 06:00:03"
"873";"MARANHAO";"348";"47_39715";"2012-11-05 15:00:11"
"874";"ARDECHE/DR.ME";"22";"13_38626";"2012-11-05 15:00:11"
"875";"KYMENLAAKSO ETELAE-KARJALA";"377";"2187_40288";"2012-11-05 15:00:11"
"876";"WYŻYNA MEKSYKAŃSKA";"182";"29_40252";"2012-11-05 15:00:11"
"877";"BAJA CALIFORNIA";"182";"29_39585";"2012-11-05 15:00:11"
"878";"ETELAE-SAVO";"377";"2187_40282";"2012-11-05 15:00:11"
"879";"POHJOIS-POHJANMAA KAINUU";"377";"2187_40284";"2012-11-05 15:00:11"
"880";"SARDEGNA";"93";"44_39377";"2012-11-05 15:00:11"
"881";"SYDOSTJYLLAND";"352";"10_39305";"2012-11-05 15:00:11"
"882";"TOKIO";"727";"248_1388";"2012-10-31 06:00:03"
"883";"P?ASKOWY? MATABELE";"721";"5822_40451";"2012-10-31 06:00:03"
"884";"BELGISCH LIMBURG";"202";"285_5873";"2012-11-05 15:00:11"
"885";"VARSINAIS-SUOMI SATAKUNTA";"377";"2187_40289";"2012-11-05 15:00:11"
"886";"CENTRAL WEST FLORIDA";"16";"3629_39401";"2012-11-05 15:00:11"
"887";"ZAMBIA";"0";"418:";"2012-10-31 06:00:03"
"888";"ZAMBIA CENTRALNA";"887";"418_40402";"2012-10-31 06:00:03"
"889";"MAR BALTICO";"100";"59_39292";"2012-11-05 15:00:11"
"890";"SERENGETI";"500";"2989_40384";"2012-10-31 06:00:03"
"891";"ARCHIPELAG LOS ROQUES";"615";"42_40374";"2012-11-05 15:00:11"
"892";\N;"276";"3022_42332";"2012-11-05 15:00:11"
"893";"GRAN BRETAGNA";"0";"39168:";"2012-11-05 15:00:11"
"894";"SCOZIA";"893";"39168_39347";"2012-11-05 15:00:11"
"895";"WIELKI RÓW";"242";"19_39198";"2012-10-31 06:00:03"
"896";\N;"0";"40962:";"2012-10-27 06:00:03"
"897";\N;"896";"40962_42477";"2012-10-27 06:00:03"
"898";"TURKS & CAICOS";"276";"3022_40372";"2012-11-05 15:00:11"
"899";"SPAGNA";"0";"39166:";"2012-11-05 15:00:11"
"900";"MENORCA";"899";"39166_3534";"2012-11-05 15:00:11"
"901";"FERNANDO DE NORONHA";"348";"47_40357";"2012-11-05 15:00:11"
"902";"SAINT-LAURENT-DU-MARONI";"188";"67_41088";"2012-10-29 22:00:02"
"903";\N;"0";"42353:";"2012-11-05 15:00:11"
"904";\N;"903";"42353_42391";"2012-11-05 15:00:11"
"905";"SURSELVA";"323";"62_5867";"2012-11-05 15:00:10"
"906";"SOFIA";"24";"3_837";"2012-11-05 15:00:11"
"907";"MORZE CZERWONE";"667";"3693_2631";"2012-11-05 15:00:11"
"908";"WY?YNA MOZAMBICKA";"750";"3247_39157";"2012-10-31 06:00:03"
"909";"LAGO LEMANO";"323";"62_39268";"2012-11-05 15:00:11"
"910";\N;"264";"21_42213";"2012-11-05 15:00:11"
"911";"TANZANIA CENTRALNA";"500";"2989_40386";"2012-10-31 06:00:03"
"912";\N;"0";"42327:";"2012-10-29 06:00:03"
"913";\N;"912";"42327_42065";"2012-10-29 06:00:03"
"914";\N;"0";"42124:";"2012-11-05 15:00:11"
"915";\N;"914";"42124_42124";"2012-11-05 15:00:11"
"916";"TIROLO";"58";"1_39259";"2012-11-05 15:00:11"
"917";"NIZINA NADKASPIJSKA";"188";"67_39124";"2012-11-05 15:00:11"
"918";"ZATOKA ANDAMA?SKA";"739";"50_38926";"2012-10-31 06:00:03"
"919";"HÉRAULT-AUDE";"22";"13_39330";"2012-11-05 15:00:11"
"920";\N;"0";"41082:";"2012-10-31 22:00:03"
"921";"GÓRY TUMAC-HUMAC";"920";"41082_41090";"2012-10-29 10:07:00"
"922";\N;"0";"42316:";"2012-11-05 15:00:11"
"923";"RWANDA ZACHODNIA";"922";"42316_41103";"2012-11-05 15:00:11"
"924";"CABO DELGADO";"750";"3247_40368";"2012-10-31 06:00:03"
"925";\N;"914";"42124_42123";"2012-11-05 15:00:11"
"926";"CHOBE";"734";"3025_39488";"2012-10-31 06:00:03"
"927";"CAYENNE";"188";"67_41089";"2012-10-29 22:00:02"
"928";"LIMFJORDSLANDET";"352";"10_5917";"2012-11-05 15:00:10"
"929";\N;"0";"38444:";"2012-10-27 06:00:03"
"930";"WYSPA PEMBA";"500";"2989_40375";"2012-10-31 06:00:03"
"931";"DELTA OKAWANGO";"734";"3025_39487";"2012-10-31 06:00:03"
"932";"COSTA AZZURRA";"22";"13_39334";"2012-11-05 15:00:11"
"933";"LAOS";"0";"52:";"2012-10-27 06:00:03"
"934";"LIBAN";"0";"3911:";"2012-11-05 15:00:11"
"935";"SAINT VINCENT I GRENADYNY";"276";"3022_40944";"2012-11-05 15:00:11"
"936";"OCEAN SPOKOJNY";"667";"3693_2555";"2012-11-05 15:00:11"
"937";"MALI";"0";"3444:";"2012-11-05 15:00:11"
"938";"EGIPT";"667";"3693_975";"2012-10-29 06:00:03"
"939";\N;"0";"42163:";"2012-11-05 15:00:11"
"940";"SUNNY BEACH";"24";"3_10434";"2012-10-28 06:00:02"
"941";"INNE";"0";"4341:";"2012-10-28 06:00:02"
"942";"UCRAINA";"0";"10718:";"2012-10-27 06:00:02"
"943";"TRANSILVANIA SI MARAMURES";"140";"32_6634";"2012-10-30 06:00:03"
"944";"WLOCHY-VAL DI FASSA";"0";"40950:";"2012-11-03 06:00:02"
"945";"JARVAMAA";"70";"65_38911";"2012-11-05 15:00:10"
"946";"ODESSA";"206";"40_6542";"2012-11-05 15:00:10"
"947";"KUNDU";"255";"264_2411";"2012-10-30 06:00:03"
"948";"SAWANNA RUPUNUNI";"140";"32_41095";"2012-10-30 06:00:03"
"949";\N;"427";"263_41113";"2012-10-29 06:00:03"
"950";"AMERYKA POLNOCNA";"58";"1_41106";"2012-10-30 06:00:03"
"951";"PUERTO DEL CARMEN";"0";"7563:";"2012-10-30 06:00:03"
"952";"PUERTO DEL CARMEN";"951";"7563_927";"2012-10-30 06:00:03"
"953";"PUERTO DE LA CRUZ";"0";"9679:";"2012-10-30 06:00:03"
"954";"PUERTO DE LA CRUZ";"953";"9679_2286";"2012-10-30 06:00:03"
"955";"SLOVACCHIA";"0";"39174:";"2012-11-05 15:00:10"
"956";"ZILINA E DINTORNI";"955";"39174_39394";"2012-11-05 15:00:10"
"957";"PROVENZA";"22";"13_39333";"2012-11-05 15:00:11"
"958";"FRIBORGO";"323";"62_39267";"2012-11-05 15:00:11"
"959";"ZLIN REGION/JAVORNIKY MNTS.";"1";"9_5887";"2012-10-30 04:00:01"
"960";"KVARNER - WYSPY";"7";"5_5989";"2012-10-30 04:00:01"
"961";"FRYBURG";"323";"62_5862";"2012-10-30 04:00:01"
"962";\N;"264";"21_41115";"2012-10-30 06:00:03"
"963";"SEYCHELLES";"0";"39819:";"2012-11-05 15:00:10"
"964";"PLAYA DORADA (PUERTO PLATA)";"963";"39819_41114";"2012-10-30 06:00:03"
"965";"WYSPA BIRD";"366";"2925_39195";"2012-11-05 15:00:10"
"966";\N;"939";"42163_42212";"2012-11-05 15:00:11"
"967";\N;"963";"39819_42258";"2012-11-03 07:00:02"
"968";"SELVA DI CADORE";"93";"44_38959";"2012-11-01 06:00:02"
"969";"SIBIU";"255";"264_10611";"2012-11-03 06:00:03"
"970";\N;"255";"264_41145";"2012-11-01 05:00:01"
"971";"SINAIA";"255";"264_7649";"2012-11-05 15:00:08"
"972";\N;"255";"264_41144";"2012-11-01 05:00:01"
"973";\N;"255";"264_41146";"2012-11-01 05:00:01"
"974";\N;"255";"264_41137";"2012-11-01 05:00:01"
"975";\N;"255";"264_41141";"2012-11-01 05:00:01"
"976";\N;"255";"264_41139";"2012-11-01 05:00:01"
"977";"PREDEAL";"255";"264_7650";"2012-11-01 05:00:01"
"978";"POIANA BRASOV";"255";"264_4336";"2012-11-03 06:00:03"
"979";"INDONESIEN";"0";"17:";"2012-10-30 11:00:09"
"980";"BRASOV";"255";"264_10602";"2012-11-01 05:00:01"
"981";\N;"255";"264_41150";"2012-11-02 05:00:02"
"982";\N;"255";"264_41152";"2012-11-04 05:00:02"
"983";\N;"0";"41114:";"2012-11-01 05:00:01"
"984";\N;"255";"264_41136";"2012-11-01 05:00:01"
"985";\N;"88";"11_41157";"2012-11-01 05:00:01"
"986";"RISHIKESH";"22";"13_41126";"2012-11-01 05:00:01"
"987";"GHT GLOBAL HOTEL TRADE LTD.";"0";"41115:";"2012-11-01 05:00:01"
"988";\N;"255";"264_41149";"2012-11-01 05:00:01"
"989";\N;"58";"1_41129";"2012-11-01 05:00:01"
"990";\N;"255";"264_41138";"2012-11-01 05:00:01"
"991";\N;"427";"263_41132";"2012-11-01 05:00:01"
"992";\N;"375";"18_41127";"2012-11-01 05:00:01"
"993";\N;"963";"39819_41128";"2012-11-01 05:00:01"
"994";\N;"255";"264_41155";"2012-11-05 05:00:02"
"995";\N;"255";"264_41153";"2012-11-02 05:00:02"
"996";\N;"255";"264_41154";"2012-11-05 05:00:02"
"997";\N;"488";"54_41130";"2012-11-01 05:00:01"
"998";\N;"58";"1_41123";"2012-11-01 05:00:01"
"999";"ORADEA";"255";"264_10650";"2012-11-03 06:00:03"
"1000";"MONTENERO (LI)";"58";"1_41124";"2012-11-01 05:00:01"
"1001";\N;"377";"2187_41131";"2012-11-01 05:00:01"
"1002";"INNE";"100";"59_3410";"2012-11-03 06:00:02"
"1003";\N;"0";"42505:";"2012-11-05 15:00:10"
"1004";\N;"1003";"42505_42497";"2012-11-05 15:00:10"
"1005";"LOUISIANA";"16";"3629_39570";"2012-11-05 15:00:10"
"1006";"HAWAII";"16";"3629_40115";"2012-11-05 15:00:10"
"1007";"COLORADO";"16";"3629_39942";"2012-11-05 15:00:10"
"1008";"NEW MEXICO";"16";"3629_39944";"2012-11-05 15:00:10"
"1009";\N;"16";"3629_42504";"2012-11-05 15:00:10"
"1010";\N;"0";"42513:";"2012-11-05 15:00:10"
"1011";\N;"1010";"42513_42514";"2012-11-05 15:00:10"
"1012";\N;"1010";"42513_42511";"2012-11-05 15:00:10"
