"id";"name";"parentid";"mdsval";"lastapperance"
"1136";\N;"1135";"42276_42284";"2012-11-05 15:00:11"
"1137";"ETIOPIA - JEMEN";"0";"41133:";"2012-11-04 06:00:02"
"1138";\N;"1137";"41133_41134";"2012-11-04 06:00:02"
"1139";"HAWAJE - WYSPY MARSHALLA - WYSPY MIKRONEZJI - PALA";"0";"41139:";"2012-11-04 06:00:02"
"1140";"WIELKA BRYTANIA - SZKOCJA DLA KONESERÓW";"0";"41127:";"2012-11-05 06:00:02"
"1141";"DURRES";"629";"3269_39051";"2012-11-05 15:00:10"
"1142";"ERMONES";"255";"264_2010";"2012-11-05 15:00:10"
"1143";\N;"0";"41187:";"2012-11-05 15:00:10"
"1144";\N;"1143";"41187_41188";"2012-11-05 15:00:10"
"1145";\N;"0";"41191:";"2012-11-05 15:00:10"
"1146";\N;"1145";"41191_41192";"2012-11-05 15:00:10"
"1147";\N;"0";"41182:";"2012-11-04 05:00:02"
"1148";\N;"1147";"41182_41183";"2012-11-04 05:00:02"
"1149";\N;"0";"41185:";"2012-11-05 15:00:10"
"1150";\N;"1149";"41185_41186";"2012-11-05 15:00:10"
"1151";\N;"0";"41189:";"2012-11-05 15:00:10"
"1152";\N;"1151";"41189_41190";"2012-11-05 15:00:10"
"1153";\N;"0";"41184:";"2012-11-04 05:00:02"
"1154";"PLAYA JIBACOA";"1153";"41184_38312";"2012-11-04 05:00:02"
"1155";\N;"0";"41193:";"2012-11-05 15:00:10"
"1156";\N;"1155";"41193_41194";"2012-11-04 05:00:02"
"1157";\N;"0";"41178:";"2012-11-04 05:00:02"
"1158";\N;"1157";"41178_41179";"2012-11-04 05:00:02"
"1159";\N;"0";"41172:";"2012-11-04 05:00:02"
"1160";\N;"1159";"41172_41173";"2012-11-04 05:00:02"
"1161";"PLAYA PARAISO";"0";"772:";"2012-11-05 15:00:10"
"1162";"PLAYA PARAISO";"1161";"772_713";"2012-11-05 15:00:10"
"1163";\N;"0";"41170:";"2012-11-04 05:00:02"
"1164";\N;"0";"41180:";"2012-11-04 05:00:02"
"1165";\N;"1164";"41180_41181";"2012-11-04 05:00:02"
"1166";\N;"0";"41176:";"2012-11-04 05:00:02"
"1167";\N;"1166";"41176_41177";"2012-11-04 05:00:02"
"1168";\N;"0";"41205:";"2012-11-04 05:00:02"
"1169";\N;"1168";"41205_41206";"2012-11-04 05:00:02"
"1170";\N;"0";"41203:";"2012-11-04 05:00:02"
"1171";\N;"1170";"41203_41204";"2012-11-04 05:00:02"
"1172";"CARIBBEAN";"255";"264_10670";"2012-11-05 15:00:10"
"1173";\N;"0";"41174:";"2012-11-04 05:00:02"
"1174";\N;"1173";"41174_41175";"2012-11-04 05:00:02"
"1175";"SOUTH AMERICA";"255";"264_10671";"2012-11-05 15:00:10"
"1176";"ETIOPIA - SZLAK HISTORYCZNY";"0";"41135:";"2012-11-05 15:00:10"
"1177";\N;"0";"41194:";"2012-11-05 15:00:10"
"1178";\N;"1177";"41194_41195";"2012-11-05 15:00:10"
"1179";\N;"0";"41198:";"2012-11-05 15:00:10"
"1180";\N;"1179";"41198_41199";"2012-11-05 15:00:10"
"1181";\N;"0";"41192:";"2012-11-05 05:00:02"
"1182";\N;"1181";"41192_41193";"2012-11-05 05:00:02"
"1183";\N;"0";"41196:";"2012-11-05 15:00:10"
"1184";\N;"1183";"41196_41197";"2012-11-05 15:00:10"
"1185";\N;"0";"41200:";"2012-11-05 15:00:10"
"1186";\N;"1185";"41200_41201";"2012-11-05 15:00:10"
"1187";\N;"0";"41175:";"2012-11-05 15:00:10"
"1188";\N;"1187";"41175_41176";"2012-11-05 15:00:10"
"1189";\N;"0";"41181:";"2012-11-05 15:00:10"
"1190";\N;"1189";"41181_41182";"2012-11-05 15:00:10"
"1191";\N;"0";"41173:";"2012-11-05 05:00:02"
"1192";\N;"0";"41179:";"2012-11-05 15:00:10"
"1193";\N;"1192";"41179_41180";"2012-11-05 15:00:10"
"1194";\N;"0";"41212:";"2012-11-05 15:00:10"
"1195";\N;"1194";"41212_41213";"2012-11-05 15:00:10"
"1196";"NORTH MALE ATOLL";"0";"8917:";"2012-11-05 15:00:10"
"1197";"NORTH MALE ATOLL";"1196";"8917_8722";"2012-11-05 15:00:10"
"1198";"MEEMU ATOLL";"0";"8938:";"2012-11-05 15:00:10"
"1199";"MEEMU ATOLL";"1198";"8938_8741";"2012-11-05 15:00:10"
"1200";\N;"0";"41210:";"2012-11-05 05:00:02"
"1201";\N;"1200";"41210_41211";"2012-11-05 05:00:02"
"1202";\N;"0";"41177:";"2012-11-05 15:00:10"
"1203";\N;"1202";"41177_41178";"2012-11-05 15:00:10"
"1204";\N;"0";"41183:";"2012-11-05 15:00:10"
"1205";\N;"1204";"41183_41184";"2012-11-05 15:00:10"
"1206";"MONTENERO (LI)";"0";"41123:";"2012-11-05 15:00:01"
"1207";\N;"0";"41125:";"2012-11-05 15:00:11"
"1208";"SVIZZERA CENTRALE";"323";"62_39271";"2012-11-05 15:00:11"
"1209";"PAESI BASCHI";"22";"13_39312";"2012-11-05 15:00:11"
"1210";"KRAJ BASKÓW";"22";"13_38622";"2012-11-05 15:00:01"
"1211";"SATU MARE";"140";"32_40164";"2012-11-05 15:00:10"
"1212";"BUZAU";"140";"32_40998";"2012-11-05 15:00:10"
"1213";\N;"0";"41202:";"2012-11-05 15:00:10"
"1214";\N;"1213";"41202_41203";"2012-11-05 15:00:10"
"1215";\N;"0";"41214:";"2012-11-05 15:00:10"
"1216";\N;"1215";"41214_41215";"2012-11-05 15:00:10"
"1217";"KERALA";"681";"243_38300";"2012-11-05 15:00:02"
"1218";"KO CHANG";"35";"49_38336";"2012-11-05 15:00:02"
"1219";"YALIKAVAK-GUNDOGAN-GOLTURKBUKU";"33";"39_38890";"2012-11-05 15:00:02"
"1220";"KORFU";"0";"5683:";"2012-11-05 15:00:02"
"1221";"AGIOS LOANNIS PARELION";"1220";"5683_40425";"2012-11-05 15:00:02"
"1222";"TSAKI BENITSES";"1220";"5683_40410";"2012-11-05 15:00:02"
"1223";"LANZAROTE";"0";"6204:";"2012-11-05 15:00:02"
"1224";"COSTA TEGUISE";"1223";"6204_7479";"2012-11-05 15:00:02"
"1225";"FINLANDIA";"377";"2187_3395";"2012-11-05 15:00:01"
"1226";"MEKSYK-WYPOCZYNEK W ACAPULCO";"0";"41145:";"2012-11-05 15:00:02"
"1227";"RPA (+ WYCIECZKA DO SUAZI)";"0";"40523:";"2012-11-05 15:00:02"
"1228";"KAZACHSTAN";"0";"3248:";"2012-11-05 15:00:02"
"1229";"JEMEN";"0";"5788:";"2012-11-05 15:00:02"
"1230";"TAJWAN";"0";"38527:";"2012-11-05 15:00:02"
"1231";"BHUTAN";"0";"3488:";"2012-11-05 15:00:02"
"1232";"KOREAŃSKA REPUBLIKA LUDOWA";"0";"5796:";"2012-11-05 15:00:02"
"1233";"SURINAM";"0";"38531:";"2012-11-05 15:00:02"
